race_title,date,departure,arrival,class,distance,vertical_meters,startlist_quality,profile_score,temperature,race_ranking,winner_time,winner_speed,profile_image_url,url
Boucles de la Mayenne - Crédit Mutuel 2023 Prologue,2023-05-25,Laval - Espace Mayenne,Laval - Espace Mayenne,2.Pro,4.1,141.0,194.0,4.0,21.0,120.0,317,46.562,https://www.procyclingstats.com/images/profiles/ca/ed/boucles-de-la-mayenne-2023-stage-1-profile.png,https://www.procyclingstats.com/race/boucles-de-la-mayenne/2023/prologue
4 Jours de Dunkerque / Grand Prix des Hauts de France 2023 Stage 3 (ITT),2023-05-18,Saint-Quentin,Saint-Quentin,2.Pro,15.9,129.0,276.0,4.0,16.0,92.0,1161,49.302,https://www.procyclingstats.com/images/profiles/ca/ca/4-jours-de-dunkerque-2023-stage-3-profile.jpg,https://www.procyclingstats.com/race/4-jours-de-dunkerque/2023/stage-3
Giro d'Italia 2023 Stage 9 (ITT),2023-05-14,Savignano sul Rubicone,Cesena,2.UWT,35.0,84.0,835.0,0.0,14.0,17.0,2484,50.725,https://www.procyclingstats.com/images/profiles/ca/ad/giro-d-italia-2023-stage-9-profile-n4.jpg,https://www.procyclingstats.com/race/giro-d-italia/2023/stage-9
Giro d'Italia 2023 Stage 1 (ITT),2023-05-06,Fossacesia Marina,Ortona,2.UWT,19.6,171.0,835.0,11.0,24.0,17.0,1278,55.211,https://www.procyclingstats.com/images/profiles/ca/ef/giro-d-italia-2023-stage-1-profile-n3.jpg,https://www.procyclingstats.com/race/giro-d-italia/2023/stage-1
Tour de Romandie 2023 Stage 3 (ITT),2023-04-28,Châtel-Saint-Denis,Châtel-Saint-Denis,2.UWT,18.75,377.0,539.0,44.0,17.0,34.0,1515,44.554,https://www.procyclingstats.com/images/profiles/ca/ea/tour-de-romandie-2023-stage-3-profile.png,https://www.procyclingstats.com/race/tour-de-romandie/2023/stage-3
Tour de Romandie 2023 Prologue,2023-04-25,Port-Valais,Port-Valais,2.UWT,6.82,10.0,539.0,0.0,12.0,34.0,445,55.173,https://www.procyclingstats.com/images/profiles/ca/ab/tour-de-romandie-2023-stage-0-profile.jpg,https://www.procyclingstats.com/race/tour-de-romandie/2023/stage-0
Continental Pan-Am Championships - ITT 2023 Time Trial,2023-04-19,Panama City,Panama City,CC,38.4,510.0,19.0,18.0,,254.0,2877,48.05,https://www.procyclingstats.com/images/profiles/ca/fb/panamerican-champ-itt-2023-result-profile.png,https://www.procyclingstats.com/race/panamerican-champ-itt/2023/result
Settimana Internazionale Coppi e Bartali 2023 Stage 5 (ITT),2023-03-25,Carpi,Carpi,2.1,18.6,43.0,122.0,0.0,22.0,154.0,1332,50.27,https://www.procyclingstats.com/images/profiles/ca/fc/settimana-internazionale-coppi-e-bartali-2023-stage-5-profile.jpg,https://www.procyclingstats.com/race/settimana-internazionale-coppi-e-bartali/2023/stage-5
Tirreno-Adriatico 2023 Stage 1 (ITT),2023-03-06,Lido di Camaiore,Lido di Camaiore,2.UWT,11.5,3.0,1044.0,0.0,13.0,4.0,748,55.348,https://www.procyclingstats.com/images/profiles/ca/cf/tirreno-adriatico-2023-stage-1-profile.jpg,https://www.procyclingstats.com/race/tirreno-adriatico/2023/stage-1
O Gran Camiño 2023 Stage 4 (ITT),2023-02-26,Novo Milladoiro,Santiago de Compostela,2.1,18.1,308.0,156.0,32.0,11.0,136.0,1427,45.662,https://www.procyclingstats.com/images/profiles/ca/ad/gran-camino-2023-stage-4-profile.jpg,https://www.procyclingstats.com/race/gran-camino/2023/stage-4
Volta ao Algarve em Bicicleta 2023 Stage 5 (ITT),2023-02-19,Lagoa,Lagoa,2.Pro,24.4,308.0,548.0,18.0,,33.0,1774,49.515,https://www.procyclingstats.com/images/profiles/ca/cb/volta-ao-algarve-2023-stage-5-profile.jpg,https://www.procyclingstats.com/race/volta-ao-algarve/2023/stage-5
National Championships South Africa ME - ITT 2023 Time Trial,2023-02-10,Oudtshoorn,Oudtshoorn,NC,28.0,111.0,5.0,0.0,,399.0,1932,52.174,,https://www.procyclingstats.com/race/nc-south-africa-itt/2023/result
Etoile de Bessèges - Tour du Gard 2023 Stage 5 (ITT),2023-02-05,Alès,Alès,2.1,10.66,170.0,418.0,22.0,,49.0,925,41.488,https://www.procyclingstats.com/images/profiles/ca/bf/etoile-de-besseges-2023-stage-5-sprint.jpg,https://www.procyclingstats.com/race/etoile-de-besseges/2023/stage-5
